Name,State,Sweep ID,Sweep Label,Model,Repeated,Num Repeats,Rep Budget,Direction,OT Multiplier,Eval Loss,Train Loss (last),Train Loss (avg),Global Step,Epoch,Tokens Seen,Unique Tokens,Train Tok/s,Learning Rate,Duration,Finished,Created,W&B Link
mirror_6gdk8on2,finished,7mwuah6x,"63M nr=[1,193,2682]",63M,repeated,193,10%,top,0.25,,,,,,,,,,N/A,N/A,2026-04-22T17:10:30Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/mirror_6gdk8on2
mirror_su2uugkp,finished,7kq74ia8,"63M nr=[1,193,2682]",63M,repeated,193,10%,top,0.25,,,,,,,,,,N/A,N/A,2026-04-22T17:10:50Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/mirror_su2uugkp
mirror_1awq4d7l,finished,7kq74ia8,"63M nr=[1,193,2682]",63M,repeated,2682,10%,top,0.25,,,,,,,,,,N/A,N/A,2026-04-22T17:27:22Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/mirror_1awq4d7l
mirror_eibgsxdj,finished,7mwuah6x,"63M nr=[1,193,2682]",63M,repeated,193,10%,bot,0.25,,,,,,,,,,N/A,N/A,2026-04-22T17:27:32Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/mirror_eibgsxdj
mirror_ccd6uz6b,finished,7mwuah6x,"63M nr=[1,193,2682]",63M,repeated,2682,10%,bot,0.25,,,,,,,,,,N/A,N/A,2026-04-22T18:01:10Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/mirror_ccd6uz6b
mirror_eadfy4ht,finished,7kq74ia8,"63M nr=[1,193,2682]",63M,non-repeated,1,10%,bot,0.25,,,,,,,,,,N/A,N/A,2026-04-22T18:01:19Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/mirror_eadfy4ht
woven-sweep-2,finished,jj1atmhk,"48M nr=[193,10000]",48M,repeated,10000,10%,top,4,3.9765384197235103,3.5691,4.183863426612109,8941,1,3848021804,38480.21804000001,81135.118,1.4611347971552476e-08,13h 30m,9d 16h ago,2026-04-22T19:27:42Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/6djyrjgn
mirror_9hth4yvx,finished,7kq74ia8,"63M nr=[1,193,2682]",63M,repeated,193,10%,bot,0.25,,,,,,,,,,N/A,N/A,2026-04-22T20:11:27Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/mirror_9hth4yvx
mirror_1fd4pvhs,finished,7kq74ia8,"63M nr=[1,193,2682]",63M,repeated,2682,10%,bot,0.25,,,,,,,,,,N/A,N/A,2026-04-22T20:27:31Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/mirror_1fd4pvhs
mirror_2gasrolw,finished,cckzeym2,"63M nr=[1,193,2682]",63M,non-repeated,1,10%,top,0.25,,,,,,,,,,N/A,N/A,2026-04-22T20:27:40Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/mirror_2gasrolw
mirror_v7i4do59,finished,cckzeym2,"63M nr=[1,193,2682]",63M,repeated,193,10%,top,0.25,,,,,,,,,,N/A,N/A,2026-04-22T20:27:47Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/mirror_v7i4do59
mirror_iyd8pdsp,finished,cckzeym2,"63M nr=[1,193,2682]",63M,repeated,2682,10%,top,0.25,,,,,,,,,,N/A,N/A,2026-04-22T20:44:22Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/mirror_iyd8pdsp
mirror_c2a7uqw9,finished,cckzeym2,"63M nr=[1,193,2682]",63M,non-repeated,1,10%,bot,0.25,,,,,,,,,,N/A,N/A,2026-04-22T20:44:32Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/mirror_c2a7uqw9
mirror_stv966n3,finished,cckzeym2,"63M nr=[1,193,2682]",63M,repeated,193,10%,bot,0.25,,,,,,,,,,N/A,N/A,2026-04-22T21:01:25Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/mirror_stv966n3
mirror_9jy5mvst,finished,cckzeym2,"63M nr=[1,193,2682]",63M,repeated,2682,10%,bot,0.25,,,,,,,,,,N/A,N/A,2026-04-22T21:01:34Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/mirror_9jy5mvst
mirror_wclnxsuk,finished,cn32q84g,"63M nr=[1,193,2682]",63M,non-repeated,1,10%,top,0.25,,,,,,,,,,N/A,N/A,2026-04-22T21:53:12Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/mirror_wclnxsuk
mirror_u5zvnwk9,finished,qn3vqv8c,"48M nr=[1,13,51,99,193,373,719,1388,2682,10000]",48M,non-repeated,1,10%,top,8,,,,,,,,,,N/A,N/A,2026-04-22T21:53:23Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/mirror_u5zvnwk9
mirror_w2xz4dph,finished,i352egi4,"344M nr=[373,719,2682]",344M,repeated,719,10%,top,1,2.980107545852661,2.6834,3.1837924964944664,12435,1,6880648850,956974.8052851182,188496.487,3.6576864920725026e-08,N/A,N/A,2026-04-22T21:53:36Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/mirror_w2xz4dph
mirror_i0xggq58,finished,qn3vqv8c,"48M nr=[1,13,51,99,193,373,719,1388,2682,10000]",48M,repeated,13,10%,top,8,,,,,,,,,,N/A,N/A,2026-04-22T22:43:42Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/mirror_i0xggq58
mirror_rwl46jgg,finished,cn32q84g,"63M nr=[1,193,2682]",63M,repeated,193,10%,top,0.25,,,,,,,,,,N/A,N/A,2026-04-22T22:43:53Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/mirror_rwl46jgg
mirror_v3ljbseh,finished,qbxjrwsx,"48M nr=[1,13,51,99,193,373,719,1388,2682,10000]",48M,non-repeated,1,10%,top,8,,,,,,,,,,N/A,N/A,2026-04-22T22:44:03Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/mirror_v3ljbseh
mirror_4zzon2ju,finished,cn32q84g,"63M nr=[1,193,2682]",63M,repeated,2682,10%,top,0.25,,,,,,,,,,N/A,N/A,2026-04-22T22:44:14Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/mirror_4zzon2ju
mirror_fa364o0n,finished,qbxjrwsx,"48M nr=[1,13,51,99,193,373,719,1388,2682,10000]",48M,repeated,13,10%,top,8,,,,,,,,,,N/A,N/A,2026-04-22T23:01:23Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/mirror_fa364o0n
